//1,2,3,4,5,6,7,8,9,10,12,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,44,44,44,44,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
0,0,0,0,0,3,3,44,44,44,44,44,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,44,44,44,44,44,44,3,3,0,0,4
0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,4,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,44,4,0,0,0,0,0,0,0,0,0,0,0,4
3,3,0,0,0,0,0,0,0,12,0,0,0,0,3,3,44,44,44,4,0,0,0,0,0,0,0,0,0,3,3,4
44,4,0,0,0,0,0,3,3,3,3,3,0,0,4,4,44,44,44,4,0,0,0,0,0,0,0,0,3,44,44,4
44,44,3,0,0,3,3,44,44,4,0,0,0,0,4,44,44,44,44,4,0,0,3,3,3,3,3,3,44,44,44,4
0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,44,44,44,44,4,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,3,44,44,44,44,44,44,44,4,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,3,44,44,44,44,44,44,44,44,4,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,3,3,3,44,44,44,44,44,44,44,44,44,4,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,3,44,44,44,44,44,44,44,44,44,44,44,44,4,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,3,44,44,44,44,44,44,44,44,44,44,44,44,44,4,0,0,0,0,0,0,0,0,0,0,0,4
0,9,0,0,0,4,44,44,44,44,44,44,44,44,44,44,44,44,44,4,0,0,0,0,0,0,12,0,0,11,0,4
3,3,3,3,3,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4,3,3,3,3,3,3,3,3,3,3,3,4
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
